,y_test,y_pred,y_proba_0,y_proba_1
79429,0,0,0.5015484584399409,0.4984515415600591
33036,0,1,0.49848616945854674,0.5015138305414533
24180,0,1,0.48788075583839985,0.5121192441616002
10993,0,1,0.49183285891909156,0.5081671410809084
41209,0,0,0.5038553729396122,0.4961446270603877
29340,0,1,0.4878653106922103,0.5121346893077897
40252,1,1,0.4885523308730425,0.5114476691269575
52189,0,0,0.5054508905872996,0.49454910941270036
20497,1,1,0.48547937686433906,0.5145206231356609
13855,0,0,0.52516226256887,0.47483773743113
43042,0,0,0.5250619451805747,0.47493805481942525
67118,0,1,0.48943756254507265,0.5105624374549274
61386,0,0,0.5206574738455133,0.4793425261544867
20970,0,0,0.5064739927907838,0.4935260072092163
70987,0,1,0.49664704331162346,0.5033529566883765
74562,0,1,0.49487795895988496,0.505122041040115
12544,1,0,0.5185056530145065,0.4814943469854936
75574,1,0,0.5116825173017261,0.48831748269827396
18831,0,0,0.5183641938878418,0.4816358061121581
46857,0,0,0.5090612024110516,0.49093879758894843
48325,1,0,0.500655985802287,0.499344014197713
7744,0,1,0.47948675529129037,0.5205132447087096
77190,0,0,0.516701285323333,0.48329871467666696
20327,0,0,0.5275419695530041,0.47245803044699586
45414,1,1,0.486394475582838,0.513605524417162
26341,0,1,0.4981819619144737,0.5018180380855263
1254,0,0,0.5145817478080938,0.4854182521919062
17956,0,1,0.4967247235273504,0.5032752764726496
81651,0,0,0.5226948933669975,0.4773051066330025
62965,0,0,0.5013600615983234,0.49863993840167664
43162,0,1,0.4944318938526394,0.5055681061473606
48012,0,0,0.5066133801476747,0.49338661985232535
67963,0,1,0.4921261143670118,0.5078738856329882
88285,0,0,0.5007955378458575,0.49920446215414255
37680,0,1,0.49249976026288245,0.5075002397371176
6204,0,0,0.5248818822319188,0.47511811776808127
42988,0,0,0.5013187781622355,0.4986812218377645
54034,0,0,0.5169672979744274,0.4830327020255726
28584,0,1,0.46297980636775227,0.5370201936322477
18315,0,0,0.5073629126021095,0.4926370873978905
65741,0,0,0.5066172617647045,0.4933827382352956
92818,0,0,0.5046989234237638,0.49530107657623623
72296,0,0,0.5037286192372514,0.4962713807627485
41007,0,1,0.47900133333754347,0.5209986666624565
1415,0,1,0.4933969342386356,0.5066030657613644
48288,1,0,0.522093251302383,0.4779067486976169
90596,0,1,0.496246480941548,0.503753519058452
60176,1,0,0.5263233309128258,0.4736766690871742
23486,0,0,0.503054403166159,0.496945596833841
54680,0,1,0.4851446082400692,0.5148553917599308
31495,0,1,0.4945928506570665,0.5054071493429335
50402,1,0,0.5274626592677928,0.4725373407322072
58106,0,0,0.5137780966936947,0.48622190330630527
217,0,0,0.5131452989838459,0.4868547010161541
83096,0,1,0.4888050621652972,0.5111949378347028
44272,0,0,0.5099906339035299,0.49000936609647006
78583,0,0,0.5148807584197721,0.48511924158022784
83013,0,0,0.5179487155095528,0.4820512844904472
9860,0,0,0.5257868348568525,0.4742131651431475
97217,0,0,0.5230944790724867,0.4769055209275132
7167,0,0,0.5075649506534935,0.4924350493465065
17520,0,1,0.49172381813187804,0.508276181868122
54504,0,0,0.5043376651314542,0.4956623348685459
72339,0,0,0.5047732271094925,0.4952267728905076
51708,0,1,0.4977580727160661,0.5022419272839339
13204,0,0,0.5075841818494582,0.49241581815054186
15000,1,0,0.5099731508321255,0.4900268491678745
4321,0,0,0.5054612293983118,0.4945387706016882
1025,0,1,0.48416742661636003,0.51583257338364
39430,0,0,0.5178738524177507,0.48212614758224925
51585,0,1,0.4951674059357193,0.5048325940642807
83860,0,0,0.5115146930551544,0.4884853069448456
18666,0,1,0.4998153717696042,0.5001846282303958
39217,0,0,0.5060474315178538,0.4939525684821462
98098,0,0,0.524380746349619,0.47561925365038105
69698,0,0,0.5140180829644884,0.48598191703551163
96336,0,0,0.5073714155568705,0.4926285844431295
16691,0,1,0.48959755283320006,0.5104024471667999
37406,0,0,0.5283720587641989,0.47162794123580104
12342,0,0,0.5202725686587908,0.47972743134120915
80147,0,0,0.5092216431721726,0.49077835682782744
28447,0,0,0.5206238017627971,0.4793761982372029
23648,0,1,0.49083741938792824,0.5091625806120718
42632,0,0,0.5138178871379412,0.4861821128620588
24075,1,0,0.5262924214835296,0.4737075785164704
72571,0,0,0.5161525667620774,0.48384743323792256
80568,0,1,0.487414482893741,0.512585517106259
31914,0,0,0.5165076864506466,0.48349231354935346
75505,0,0,0.5139202755628598,0.48607972443714015
79647,0,1,0.4870810873122302,0.5129189126877698
18117,1,0,0.5129347547347527,0.48706524526524736
63180,0,0,0.5090216450533924,0.4909783549466075
92973,0,0,0.5027342492895583,0.4972657507104416
36931,0,1,0.49276675756600874,0.5072332424339913
40003,1,0,0.5074781933890847,0.49252180661091527
18111,0,1,0.4805321053773176,0.5194678946226824
15616,0,0,0.5208596181391172,0.47914038186088287
25532,0,0,0.510521177866565,0.489478822133435
88458,0,1,0.48837714019189105,0.511622859808109
99326,0,0,0.5080831239246162,0.4919168760753838
87092,0,1,0.4874776056937554,0.5125223943062446
48713,1,0,0.5135196768222667,0.4864803231777333
27526,0,1,0.47992695068596425,0.5200730493140358
54608,0,0,0.5064273040540753,0.4935726959459247
72998,0,0,0.5163442190193342,0.48365578098066575
33015,0,0,0.5133471598488317,0.48665284015116833
90781,0,0,0.5164024542618593,0.4835975457381408
29996,0,0,0.5165941776606535,0.4834058223393464
10513,0,1,0.4834119775786523,0.5165880224213477
59153,0,0,0.5371042069680115,0.46289579303198847
71732,0,0,0.5054390626566891,0.49456093734331086
57960,0,0,0.5161215091867768,0.4838784908132232
66588,0,0,0.5197524166169701,0.48024758338302986
13591,0,0,0.5033276109221037,0.49667238907789635
17989,0,0,0.503091291206553,0.4969087087934469
65069,1,1,0.4992719990179584,0.5007280009820416
90093,0,0,0.500534244466387,0.499465755533613
18942,0,0,0.5236234499094015,0.4763765500905985
81981,0,1,0.4966805718577382,0.5033194281422618
97099,0,0,0.5171759695166287,0.48282403048337125
69840,1,1,0.46761853978727463,0.5323814602127254
14999,0,1,0.48972063073865546,0.5102793692613445
71112,0,0,0.5268558046974157,0.4731441953025844
99818,0,1,0.45735734370593883,0.5426426562940612
1381,0,1,0.4696738501913077,0.5303261498086923
42225,0,0,0.5054623031691107,0.49453769683088933
94767,0,0,0.5085481963097609,0.4914518036902391
89282,0,1,0.4807919376695974,0.5192080623304026
100498,0,1,0.49185254095979036,0.5081474590402096
11902,0,1,0.49645706610183793,0.5035429338981621
16300,0,0,0.5150834015415195,0.4849165984584805
100429,0,1,0.4964735352136006,0.5035264647863994
69134,0,1,0.47538715934534015,0.5246128406546599
52470,0,1,0.4748082070510572,0.5251917929489428
9609,0,0,0.5081244034683661,0.49187559653163393
27560,0,1,0.49638190842252483,0.5036180915774752
23831,0,0,0.5107907772393531,0.48920922276064693
57881,0,0,0.51703894802089,0.48296105197911
84626,1,0,0.5468174702168047,0.45318252978319523
45410,0,0,0.5292387068565145,0.4707612931434854
53836,0,1,0.48983820796701294,0.5101617920329871
37394,1,0,0.5194009635187062,0.48059903648129376
18802,0,0,0.5132784599234184,0.48672154007658164
51450,0,1,0.49341422812926383,0.5065857718707362
23718,0,0,0.5080998277965469,0.491900172203453
26570,1,1,0.4877267190652472,0.5122732809347528
24554,0,0,0.511098729799176,0.4889012702008239
10786,1,0,0.5049533042123227,0.49504669578767735
63459,0,0,0.5166403531565333,0.48335964684346666
7508,0,0,0.5040639546944812,0.4959360453055188
